상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율
공릉동 국수거리,화장품,4760424435,25317,19,15,11,15,22,12,6,0,26,20,35,19,2,30,70,0,3,16
공릉동 국수거리,운동/경기용품,39568005,368,21,2,8,14,16,39,0,0,4,38,32,26,0,84,16,0,9,38
공릉동 국수거리,자전거 및 기타운송장비,335712373,2252,2,8,8,11,51,14,8,0,1,36,21,42,0,77,24,0,5,42
공릉동 국수거리,섬유제품,49060097,324,78,1,5,3,4,10,0,0,44,34,12,10,0,16,84,0,3,2
공릉동 국수거리,화초,160646341,7143,11,7,15,11,20,26,11,0,12,24,26,35,3,51,49,1,25,24
공릉동 국수거리,애완동물,32299311,1817,12,14,13,13,14,19,16,0,7,26,37,30,0,38,62,1,10,12
공릉동 국수거리,가구,265281733,471,0,15,39,3,10,15,19,0,4,35,32,29,0,43,57,0,0,16
공릉동 국수거리,가전제품,1673580158,3751,24,10,9,8,7,19,23,0,4,28,42,26,0,57,43,0,5,24
공릉동 국수거리,철물점,920134143,10234,13,23,15,18,15,13,3,0,9,39,16,36,1,82,18,0,2,28
공릉동 국수거리,인테리어,134861116,2577,20,15,36,7,11,12,0,0,27,34,29,11,0,61,40,0,2,7
공릉동 국수거리,전자상거래업,579472232,789,1,15,31,16,2,3,34,0,0,41,1,59,0,40,60,0,12,1
공릉역 2번,한식음식점,12821188509,481653,12,13,14,13,16,18,14,0,2,21,12,49,16,61,39,1,16,18
공릉역 2번,중식음식점,303045430,15365,13,15,16,11,14,17,15,0,0,45,13,40,1,67,33,1,15,19
공릉역 2번,일식음식점,324125977,12019,15,11,16,16,17,15,11,0,0,36,12,47,5,55,45,1,34,19
공릉역 2번,양식음식점,239433956,13863,13,14,16,13,14,16,14,1,4,36,18,36,5,59,41,1,24,20
공릉역 2번,제과점,968757984,108561,14,13,14,13,16,17,14,0,14,17,19,37,13,44,57,1,19,21
공릉역 2번,패스트푸드점,342247749,31066,11,14,15,14,17,15,15,0,9,28,18,39,6,53,47,1,31,17
공릉역 2번,치킨전문점,667882826,33951,11,13,13,13,17,18,14,3,0,4,8,51,35,61,39,1,20,19
공릉역 2번,분식전문점,1251647863,95015,11,13,15,15,17,17,12,0,5,21,13,44,17,54,46,1,25,22
공릉역 2번,호프-간이주점,990205305,27774,13,14,14,16,17,17,10,1,0,3,2,37,58,62,38,2,34,16
공릉역 2번,커피-음료,1887160327,246854,13,12,15,11,14,17,19,0,4,26,30,34,6,38,62,2,46,21
공릉역 2번,일반교습학원,718401124,2268,28,15,16,11,21,9,1,0,2,7,27,57,7,54,46,0,0,2
공릉역 2번,외국어학원,473514437,1733,17,29,20,11,18,5,2,0,3,5,28,57,7,54,46,1,0,17
공릉역 2번,예술학원,199913923,1337,27,27,10,11,11,15,0,0,0,17,44,40,0,22,78,7,16,15
공릉역 2번,스포츠 강습,61213582,231,20,23,23,32,2,0,0,0,3,14,20,58,6,48,52,0,2,34
공릉역 2번,일반의원,3457739131,164936,21,16,15,17,19,13,1,0,20,32,33,15,0,48,52,0,8,15
공릉역 2번,치과의원,1970652571,15480,21,18,16,18,17,10,0,0,12,38,36,13,0,53,47,0,7,10
공릉역 2번,한의원,373370131,12196,18,14,5,19,18,26,0,0,18,28,31,24,0,44,56,1,3,9
공릉역 2번,당구장,29666014,2251,9,10,14,8,15,19,24,0,0,2,16,52,30,95,5,1,14,2
공릉역 2번,골프연습장,77579427,1368,14,12,13,3,6,33,20,0,7,26,35,29,3,90,10,0,0,5
공릉역 2번,PC방,585938105,132686,11,11,12,9,15,24,18,16,3,10,15,28,28,91,9,2,64,28
공릉역 2번,스포츠클럽,7125744,33,32,25,11,32,0,0,0,0,10,0,65,25,0,68,32,0,46,54
공릉역 2번,자동차수리,445472951,3399,14,17,14,19,16,18,3,0,13,23,30,34,0,76,24,0,2,21
공릉역 2번,자동차미용,41682890,887,10,6,6,12,19,19,29,0,19,25,33,23,0,71,29,0,14,22
공릉역 2번,미용실,689209317,22767,11,9,11,14,12,27,16,0,3,26,32,38,1,47,53,1,18,20
공릉역 2번,네일숍,13466315,87,0,0,19,10,7,64,0,0,0,58,12,30,0,2,99,0,5,12
공릉역 2번,피부관리실,60962526,421,11,8,35,18,16,9,2,11,13,3,25,18,31,67,33,0,7,29
공릉역 2번,세탁소,459985283,24908,14,10,14,7,14,41,1,0,27,19,27,27,0,42,58,0,10,17
공릉역 2번,가전제품수리,313891395,5568,12,19,14,11,11,0,34,0,18,59,14,9,0,27,73,0,2,7
공릉역 2번,여관,201515619,4343,10,13,10,13,19,23,13,18,2,3,11,26,40,78,23,3,25,17
공릉역 2번,노래방,292896802,16267,13,12,13,12,19,20,12,16,0,1,5,37,41,77,23,3,23,9
공릉역 2번,슈퍼마켓,2898230082,218223,13,13,15,13,15,16,15,3,10,16,22,39,11,49,51,0,11,18
공릉역 2번,편의점,3261923175,540735,14,14,14,14,15,15,14,13,15,11,12,26,25,69,31,1,31,24
공릉역 2번,컴퓨터및주변장치판매,65294556,509,0,15,0,61,24,0,0,0,21,61,18,0,0,100,0,0,0,9
공릉역 2번,핸드폰,207772725,4301,22,2,2,22,49,0,3,0,1,2,70,28,0,91,9,0,50,3
공릉역 2번,육류판매,1438188400,49224,12,18,10,14,19,18,9,0,11,21,28,39,1,42,58,0,3,11
공릉역 2번,수산물판매,174078775,8455,6,15,12,13,15,26,15,0,13,23,24,33,6,41,59,0,6,11
공릉역 2번,청과상,459088102,29013,19,9,18,16,12,15,12,0,12,21,33,34,1,39,61,0,6,12
공릉역 2번,반찬가게,3712014708,274967,12,13,13,11,16,16,19,0,11,25,31,33,1,35,65,0,3,13
공릉역 2번,일반의류,837691647,13213,13,14,17,13,17,14,12,0,1,28,36,32,3,14,86,0,4,4
공릉역 2번,신발,45175611,1586,18,14,14,12,16,13,14,0,10,24,23,42,1,24,76,0,2,5
공릉역 2번,안경,235415849,2835,17,18,15,15,11,17,8,0,3,19,36,42,1,50,50,1,13,18
공릉역 2번,시계및귀금속,92913960,382,10,10,24,9,18,25,4,0,0,40,24,35,0,21,79,0,0,9
공릉역 2번,의약품,1971066352,190982,20,16,14,15,17,14,4,0,21,26,28,24,2,49,51,0,8,15
공릉역 2번,의료기기,115279008,397,20,22,20,22,15,1,0,0,21,34,45,0,0,61,39,0,0,3
공릉역 2번,문구,259104718,5226,12,16,18,27,22,4,2,0,9,36,42,13,0,46,54,2,10,18
공릉역 2번,화장품,5046373669,25132,19,15,12,15,22,11,5,0,25,20,34,18,2,29,71,0,3,16
공릉역 2번,화초,283624773,12100,11,10,13,13,22,25,7,0,10,26,24,37,4,47,53,1,22,26
공릉역 2번,애완동물,29299311,1755,12,15,13,11,14,17,18,0,7,24,37,32,0,38,63,1,10,12
공릉역 2번,가구,265281733,471,0,15,39,3,10,15,19,0,4,35,32,29,0,43,57,0,0,16
공릉역 2번,가전제품,1673580158,3751,24,10,9,8,7,19,23,0,4,28,42,26,0,57,43,0,5,24
공릉역 2번,철물점,172199271,9256,11,11,13,14,20,14,17,0,10,35,29,23,3,57,43,1,7,22
공릉역 2번,인테리어,308668648,6970,16,17,23,16,12,15,0,0,38,32,22,8,0,73,27,0,4,7
공릉역 2번,조명용품,15286167,740,36,6,0,7,51,0,0,0,15,29,28,29,0,93,7,0,25,33
공릉역 2번,전자상거래업,17979248,164,6,0,0,42,52,0,0,0,0,52,0,48,0,52,48,0,52,42
서울과학기술대,한식음식점,3934829596,190635,13,14,15,14,15,14,15,0,3,31,11,43,12,60,41,1,22,18
서울과학기술대,중식음식점,140255380,7600,13,12,13,15,18,16,14,0,1,42,13,41,3,57,44,3,25,17
서울과학기술대,일식음식점,199711527,7319,15,13,15,17,17,14,11,0,0,39,10,47,4,55,45,1,33,21
서울과학기술대,양식음식점,159684732,5483,10,11,14,14,14,18,19,0,0,38,21,39,2,54,46,2,30,19
서울과학기술대,제과점,519879294,56877,14,12,13,13,15,18,15,0,11,15,17,40,18,44,57,2,25,20
서울과학기술대,패스트푸드점,781271850,65058,13,14,15,14,15,14,15,0,7,31,19,37,7,52,48,3,33,20
서울과학기술대,치킨전문점,359481354,17256,11,13,12,13,19,18,14,4,0,1,10,51,34,60,40,2,23,15
서울과학기술대,분식전문점,391312291,29455,8,15,14,13,14,15,21,0,1,28,26,40,5,45,55,2,22,16
서울과학기술대,호프-간이주점,553154185,15589,14,14,13,14,15,20,10,1,0,0,2,45,51,59,41,3,58,16
서울과학기술대,커피-음료,1653382624,226559,13,12,15,11,13,17,18,1,4,27,28,33,7,40,60,2,48,20
서울과학기술대,일반교습학원,40260969,232,47,10,28,1,14,0,0,0,0,0,20,80,0,29,71,0,0,0
서울과학기술대,예술학원,140723286,1008,25,32,9,8,7,19,0,0,0,20,38,42,0,20,80,10,22,16
서울과학기술대,스포츠 강습,97885106,408,28,31,21,6,8,6,0,0,1,5,7,81,6,50,51,0,2,33
서울과학기술대,일반의원,415887480,29301,17,15,15,26,16,11,0,0,30,26,31,15,0,56,44,0,9,16
서울과학기술대,치과의원,804314861,5918,23,20,15,15,22,6,0,0,11,36,37,16,0,53,47,0,8,10
서울과학기술대,당구장,88372377,4386,13,9,14,14,16,23,11,0,2,21,16,46,15,92,9,2,12,5
서울과학기술대,PC방,175644355,37708,13,12,11,12,14,20,18,21,5,10,15,28,22,86,14,5,65,19
서울과학기술대,자동차수리,71067106,591,28,19,19,13,6,11,4,0,14,15,36,35,0,66,34,0,6,6
서울과학기술대,자동차미용,20116595,655,14,4,19,7,13,18,25,0,7,44,38,12,0,61,39,0,4,7
서울과학기술대,미용실,105488229,4051,12,10,13,13,11,27,13,0,2,31,23,42,3,38,62,0,12,12
서울과학기술대,네일숍,5814209,30,0,0,0,0,12,88,0,0,0,50,25,25,0,0,100,0,12,25
서울과학기술대,피부관리실,11493954,21,31,0,34,35,0,0,0,0,0,0,31,69,0,65,35,0,35,0
서울과학기술대,노래방,125124132,17547,11,16,12,9,16,20,17,16,0,3,12,51,18,65,35,9,48,14
서울과학기술대,슈퍼마켓,200769336,56319,13,14,12,17,22,13,11,3,11,16,10,27,34,71,29,12,24,19
서울과학기술대,편의점,1379878031,301882,15,15,14,15,15,13,12,10,14,16,14,25,21,66,34,4,41,19
서울과학기술대,핸드폰,8561916,1339,16,22,0,0,31,0,31,0,0,0,22,78,0,53,47,0,22,0
서울과학기술대,육류판매,59595350,2397,9,17,13,12,22,16,11,0,4,19,32,45,0,50,50,0,3,16
서울과학기술대,수산물판매,39606415,927,0,12,15,11,21,22,20,0,0,0,9,65,26,64,36,0,19,27
서울과학기술대,일반의류,31042976,377,21,30,2,20,25,2,0,0,0,0,3,60,38,18,83,5,32,20
서울과학기술대,안경,120421762,1480,20,18,17,10,16,14,6,0,1,16,34,48,0,52,48,2,13,17
서울과학기술대,문구,335165677,10338,16,36,10,13,16,7,2,0,8,48,25,20,0,43,57,3,24,10
서울과학기술대,화장품,41342579,1171,14,11,19,13,15,21,8,0,0,26,26,48,0,15,85,0,48,4
서울과학기술대,화초,69219612,2839,11,12,7,20,23,23,5,0,16,27,25,31,1,40,60,1,17,18
서울과학기술대,철물점,95103067,4196,14,11,9,7,18,13,28,0,0,41,20,34,5,58,43,2,9,24
서울과학기술대,인테리어,102753958,246,30,0,0,0,23,47,0,0,17,30,53,0,0,99,1,0,0,40
공릉동 국수거리,한식음식점,10094430144,370021,13,13,13,14,15,17,16,1,3,23,15,49,10,62,38,0,13,17
공릉동 국수거리,중식음식점,304827683,15854,12,15,13,16,16,16,12,0,0,45,17,37,1,67,33,1,13,18
공릉동 국수거리,일식음식점,218516659,6325,17,15,16,18,16,16,2,0,0,29,9,47,15,60,40,0,20,24
공릉동 국수거리,양식음식점,155204361,8531,16,14,13,16,14,12,14,0,1,49,17,32,1,58,42,1,18,25
공릉동 국수거리,제과점,258975212,30305,12,13,13,16,17,17,12,0,15,21,24,35,5,45,55,1,16,20
공릉동 국수거리,패스트푸드점,156123188,8730,12,10,17,14,15,16,16,1,2,22,18,50,7,49,51,1,13,19
공릉동 국수거리,치킨전문점,270442905,14445,12,13,15,14,16,16,14,3,1,5,10,58,24,67,33,1,15,16
공릉동 국수거리,분식전문점,495161867,47182,14,10,14,15,18,17,13,0,9,32,16,34,8,54,46,1,21,20
공릉동 국수거리,호프-간이주점,533806577,18638,12,13,15,17,15,21,7,1,1,4,4,44,47,72,28,0,16,13
공릉동 국수거리,커피-음료,876245216,127430,14,13,13,19,14,16,13,0,10,30,28,28,5,45,55,1,31,21
공릉동 국수거리,일반교습학원,270322945,1005,24,12,21,17,21,4,0,1,0,5,29,59,6,60,40,0,0,1
공릉동 국수거리,외국어학원,315393921,940,19,20,16,19,22,4,0,0,15,5,33,45,3,46,54,0,0,11
공릉동 국수거리,예술학원,225361153,1046,12,14,14,17,10,28,7,0,12,11,43,33,0,34,66,0,2,24
공릉동 국수거리,스포츠 강습,234478092,637,13,13,31,22,8,13,1,0,5,16,15,48,16,29,71,0,22,36
공릉동 국수거리,일반의원,2895822777,134863,18,14,16,16,19,16,0,0,21,36,29,14,0,47,53,0,12,15
공릉동 국수거리,치과의원,2190359577,15443,18,24,14,16,16,11,0,0,17,33,31,20,0,57,43,0,6,13
공릉동 국수거리,한의원,403950966,21360,13,18,11,20,13,26,0,0,15,41,18,26,0,49,51,2,7,14
공릉동 국수거리,당구장,72505224,5077,15,12,12,8,15,22,16,0,0,4,24,50,22,97,3,1,4,16
공릉동 국수거리,골프연습장,122864936,2562,18,14,6,20,13,12,18,1,5,8,32,43,12,64,36,0,2,8
공릉동 국수거리,PC방,12685046,3348,7,12,9,14,18,25,16,4,2,19,31,39,5,87,13,1,72,4
공릉동 국수거리,스포츠클럽,188919123,1586,16,31,6,19,19,3,6,0,6,14,12,60,8,26,74,0,39,27
공릉동 국수거리,자동차수리,580725467,4165,13,13,23,15,17,17,4,0,13,27,37,23,0,75,25,0,3,18
공릉동 국수거리,자동차미용,30010313,739,12,2,16,12,27,17,14,0,17,23,41,19,0,83,17,0,3,16
공릉동 국수거리,미용실,511292211,15514,12,8,12,15,16,22,15,0,2,26,33,37,2,43,57,1,16,23
공릉동 국수거리,네일숍,40628797,628,25,23,1,37,1,14,0,0,0,2,36,62,0,24,76,0,15,25
공릉동 국수거리,피부관리실,61978149,568,2,5,18,27,15,25,8,33,4,19,7,29,8,68,32,0,0,40
공릉동 국수거리,세탁소,266187167,17345,13,12,10,10,11,44,0,0,35,16,22,27,0,34,66,0,6,24
공릉동 국수거리,가전제품수리,271411516,5283,9,18,23,21,9,0,20,0,34,48,19,0,0,89,11,0,0,9
공릉동 국수거리,여관,522552306,10512,20,10,11,14,11,21,13,16,3,4,9,29,39,72,28,2,28,18
공릉동 국수거리,고시원,23244552,58,56,0,0,44,0,0,0,0,0,56,0,44,0,56,44,0,0,0
공릉동 국수거리,노래방,133381758,1153,24,3,11,17,14,20,11,3,0,0,0,40,57,90,10,0,1,5
공릉동 국수거리,슈퍼마켓,4784996928,361049,15,13,15,15,16,16,11,3,9,17,22,39,10,47,53,0,9,14
공릉동 국수거리,편의점,3516492404,562158,14,14,14,15,16,15,12,8,17,12,13,29,20,68,32,1,24,25
공릉동 국수거리,컴퓨터및주변장치판매,92369676,1200,57,12,0,31,0,0,0,0,0,0,25,75,0,100,0,0,0,19
공릉동 국수거리,핸드폰,144038700,3747,5,4,35,43,3,5,5,0,2,51,29,19,0,45,55,0,30,4
공릉동 국수거리,육류판매,1119792474,36807,11,11,9,13,20,20,16,0,16,22,32,30,0,44,56,0,4,8
공릉동 국수거리,수산물판매,113486874,5670,11,16,7,15,15,20,16,0,14,27,33,27,0,36,64,0,3,7
공릉동 국수거리,청과상,577901001,33456,15,13,10,16,16,16,15,0,14,22,38,26,1,41,59,0,7,9
공릉동 국수거리,반찬가게,3562990058,317300,14,11,9,14,13,21,18,0,13,20,30,37,1,42,58,0,6,19
공릉동 국수거리,일반의류,597984744,14240,12,13,16,18,14,18,9,0,3,25,36,33,2,19,81,0,5,5
공릉동 국수거리,신발,38131255,1537,14,12,10,19,12,19,15,0,10,23,32,34,1,42,58,0,6,3
공릉동 국수거리,안경,271372419,2943,11,16,15,15,15,18,11,0,5,27,34,34,1,56,44,1,13,23
공릉동 국수거리,시계및귀금속,39142843,300,19,8,5,8,30,29,0,0,7,32,49,12,0,21,79,0,0,2
공릉동 국수거리,의약품,5004156867,355513,19,15,15,16,22,13,1,0,23,29,30,19,0,48,52,0,9,14
공릉동 국수거리,의료기기,1060152912,2947,17,5,45,23,5,5,0,0,3,66,25,7,0,74,26,0,3,3
공릉동 국수거리,서적,124223954,1120,17,21,12,35,15,0,0,0,7,29,51,13,0,29,71,0,3,25
공릉동 국수거리,문구,542141696,2442,15,10,32,13,21,10,0,0,9,25,32,34,0,89,11,0,1,2
공릉동 국수거리,화장품,6657899169,30966,14,8,15,28,16,4,17,0,28,34,20,11,7,33,67,0,3,18
공릉동 국수거리,운동/경기용품,49045147,477,7,21,34,1,14,23,0,0,4,66,22,7,0,82,18,0,25,6
공릉동 국수거리,자전거 및 기타운송장비,242681299,2098,2,14,12,11,12,31,17,0,0,29,27,44,0,92,8,0,22,17
공릉동 국수거리,섬유제품,56223294,325,2,7,6,6,75,5,0,0,1,9,85,5,0,10,90,0,0,10
공릉동 국수거리,화초,108545807,4528,11,14,20,22,13,13,8,0,16,27,28,29,1,42,58,0,29,16
공릉동 국수거리,애완동물,33616950,1829,19,9,11,13,13,19,16,0,6,30,32,33,0,47,53,0,11,14
공릉동 국수거리,가구,223283410,515,2,9,8,10,23,23,26,0,1,41,26,33,0,36,64,1,21,23
공릉동 국수거리,가전제품,1598105887,4461,16,11,13,8,13,27,13,0,5,29,35,31,0,52,49,0,5,14
공릉동 국수거리,철물점,788421978,7671,24,5,21,18,14,15,3,0,12,26,50,12,0,62,38,0,4,7
공릉동 국수거리,인테리어,159166761,2178,8,11,44,11,16,11,0,0,30,15,45,10,0,82,18,0,3,9
공릉동 국수거리,전자상거래업,956162637,1123,30,1,2,0,24,7,36,0,0,33,42,25,0,27,73,0,2,1
공릉역 2번,한식음식점,11029562942,451359,12,13,13,15,16,17,15,0,3,24,15,49,10,60,40,1,16,17
공릉역 2번,중식음식점,315482718,16105,13,14,12,14,15,17,16,0,0,42,17,40,1,64,36,2,16,17
공릉역 2번,일식음식점,253493415,9352,14,12,15,18,15,15,11,0,0,39,13,45,4,55,45,1,32,17
공릉역 2번,양식음식점,217666895,12493,14,15,14,15,17,14,12,0,5,37,18,36,4,59,41,2,23,21
공릉역 2번,제과점,999683497,110565,14,13,13,14,16,16,14,0,15,18,20,36,11,45,55,1,18,22
공릉역 2번,패스트푸드점,301731972,26543,10,14,16,15,15,15,15,0,8,29,17,41,5,51,50,2,33,18
공릉역 2번,치킨전문점,630402485,34902,12,13,14,14,16,18,14,4,0,4,9,56,28,65,35,1,19,17
공릉역 2번,분식전문점,1147699706,87418,12,12,13,16,18,17,13,0,5,23,15,45,12,54,46,1,24,22
공릉역 2번,호프-간이주점,865303770,25465,13,13,14,15,16,19,11,0,0,2,2,49,48,66,34,1,30,17
공릉역 2번,커피-음료,2068758453,255462,14,12,13,14,13,18,17,0,4,23,34,34,5,36,64,3,47,19
공릉역 2번,일반교습학원,580555724,1852,21,16,17,19,19,5,3,0,4,8,33,50,5,59,41,0,0,2
공릉역 2번,외국어학원,542616214,2068,14,18,23,16,16,12,2,1,2,14,40,40,3,48,52,0,0,17
공릉역 2번,예술학원,230615915,1560,19,19,22,16,9,9,6,0,0,14,54,31,2,19,82,0,17,14
공릉역 2번,스포츠 강습,65056859,275,29,7,23,22,18,2,0,0,12,11,24,53,1,52,48,0,14,21
공릉역 2번,일반의원,3336567929,150512,16,14,18,18,18,14,1,0,18,33,33,16,0,48,52,3,12,16
공릉역 2번,치과의원,2162309556,17363,19,23,14,18,16,11,0,0,17,33,31,19,0,50,50,0,9,10
공릉역 2번,한의원,319031843,12417,15,20,8,20,17,21,0,0,17,41,18,24,0,54,46,2,10,13
공릉역 2번,당구장,30693704,2386,8,11,16,9,15,25,15,0,0,2,20,51,27,94,6,1,13,8
공릉역 2번,골프연습장,83603012,1513,23,8,3,24,13,12,18,0,7,10,40,39,6,70,30,0,0,8
공릉역 2번,PC방,583447806,117474,13,13,10,15,13,19,18,2,10,18,29,36,5,90,10,3,69,21
공릉역 2번,스포츠클럽,11631054,50,11,32,0,13,38,7,0,0,75,7,7,12,0,45,55,0,49,13
공릉역 2번,자동차수리,408649627,3245,12,14,24,18,16,13,4,0,14,29,35,22,1,72,28,0,3,18
공릉역 2번,자동차미용,30010313,739,12,2,16,12,27,17,14,0,17,23,41,19,0,83,17,0,3,16
공릉역 2번,미용실,670653703,21833,13,9,12,15,17,22,14,0,2,25,29,41,3,45,55,1,21,22
공릉역 2번,네일숍,10326546,66,33,25,0,2,0,40,0,0,0,1,53,46,0,2,98,0,2,16
공릉역 2번,피부관리실,72584132,652,2,9,21,23,17,22,7,28,4,19,12,30,8,64,36,0,3,36
공릉역 2번,세탁소,263390281,16913,13,12,11,10,10,44,0,0,35,16,23,27,0,35,65,0,8,23
공릉역 2번,가전제품수리,271411516,5283,9,18,23,21,9,0,20,0,34,48,19,0,0,89,11,0,0,9
공릉역 2번,여관,180723464,4113,8,16,17,13,10,21,14,16,5,4,8,36,31,73,27,4,23,12
공릉역 2번,노래방,219655638,8714,15,11,13,16,10,21,15,12,0,2,9,43,35,82,18,3,21,8
공릉역 2번,슈퍼마켓,3291188888,237143,13,12,14,14,15,17,15,3,11,17,21,38,10,52,48,0,11,17
공릉역 2번,편의점,3423842293,550856,13,14,14,15,16,15,14,12,15,11,12,28,23,69,31,1,31,24
공릉역 2번,핸드폰,148699712,5082,5,4,30,42,8,6,5,0,4,54,31,11,0,40,60,0,32,4
공릉역 2번,육류판매,2043308317,53695,11,11,14,13,19,20,11,0,13,24,27,35,0,45,55,0,3,9
공릉역 2번,수산물판매,188686011,8662,9,14,9,15,15,22,16,0,10,21,30,35,4,41,59,0,7,9
공릉역 2번,청과상,669655631,38680,16,13,9,16,15,16,15,0,15,22,36,27,1,40,60,0,6,9
공릉역 2번,반찬가게,5377508106,358152,17,9,8,14,15,19,18,0,16,26,27,30,0,39,61,0,3,13
공릉역 2번,일반의류,514199036,9874,11,14,17,18,14,18,8,0,3,24,36,35,2,18,82,0,4,6
공릉역 2번,신발,38131255,1537,14,12,10,19,12,19,15,0,10,23,32,34,1,42,58,0,6,3
공릉역 2번,안경,256036716,2792,12,19,13,18,14,15,9,0,4,22,29,44,0,55,45,1,14,19
공릉역 2번,시계및귀금속,49215014,343,7,15,21,10,26,22,0,0,19,16,36,28,0,49,51,0,1,6
